STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,ACTIVITY,Economic activity,POLLUTANT,Pollutants,ACTIVITY_SCOPE,Activity scope,METHODOLOGY,Methodology,SOURCE,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.1),Air Emissions Accounts,I,OECD,OECD,Q,Quarterly,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,S,"Seasonally adjusted, not calendar adjusted",D,"Electricity, gas, steam and air conditioning supply",GHG,Greenhouse gases (excludes carbon dioxide from biomass used as a fuel),RES,Activities by residents,_Z,Not applicable,ESTIMATED,Estimated by OECD,2015-Q1,,1135916197.33553,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.1),Air Emissions Accounts,I,OECD,OECD,Q,Quarterly,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,S,"Seasonally adjusted, not calendar adjusted",D,"Electricity, gas, steam and air conditioning supply",GHG,Greenhouse gases (excludes carbon dioxide from biomass used as a fuel),RES,Activities by residents,_Z,Not applicable,ESTIMATED,Estimated by OECD,2015-Q2,,1111420586.17511,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.1),Air Emissions Accounts,I,OECD,OECD,Q,Quarterly,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,S,"Seasonally adjusted, not calendar adjusted",D,"Electricity, gas, steam and air conditioning supply",GHG,Greenhouse gases (excludes carbon dioxide from biomass used as a fuel),RES,Activities by residents,_Z,Not applicable,ESTIMATED,Estimated by OECD,2015-Q3,,1072990713.58029,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.1),Air Emissions Accounts,I,OECD,OECD,Q,Quarterly,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,S,"Seasonally adjusted, not calendar adjusted",D,"Electricity, gas, steam and air conditioning supply",GHG,Greenhouse gases (excludes carbon dioxide from biomass used as a fuel),RES,Activities by residents,_Z,Not applicable,ESTIMATED,Estimated by OECD,2015-Q4,,1073433525.41417,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.1),Air Emissions Accounts,I,OECD,OECD,Q,Quarterly,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,S,"Seasonally adjusted, not calendar adjusted",D,"Electricity, gas, steam and air conditioning supply",GHG,Greenhouse gases (excludes carbon dioxide from biomass used as a fuel),RES,Activities by residents,_Z,Not applicable,ESTIMATED,Estimated by OECD,2016-Q1,,1037232300.09508,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.1),Air Emissions Accounts,I,OECD,OECD,Q,Quarterly,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,S,"Seasonally adjusted, not calendar adjusted",D,"Electricity, gas, steam and air conditioning supply",GHG,Greenhouse gases (excludes carbon dioxide from biomass used as a fuel),RES,Activities by residents,_Z,Not applicable,ESTIMATED,Estimated by OECD,2016-Q2,,1069412635.14054,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.1),Air Emissions Accounts,I,OECD,OECD,Q,Quarterly,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,S,"Seasonally adjusted, not calendar adjusted",D,"Electricity, gas, steam and air conditioning supply",GHG,Greenhouse gases (excludes carbon dioxide from biomass used as a fuel),RES,Activities by residents,_Z,Not applicable,ESTIMATED,Estimated by OECD,2016-Q3,,1094678614.47351,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.1),Air Emissions Accounts,I,OECD,OECD,Q,Quarterly,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,S,"Seasonally adjusted, not calendar adjusted",D,"Electricity, gas, steam and air conditioning supply",GHG,Greenhouse gases (excludes carbon dioxide from biomass used as a fuel),RES,Activities by residents,_Z,Not applicable,ESTIMATED,Estimated by OECD,2016-Q4,,1068039209.91598,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.1),Air Emissions Accounts,I,OECD,OECD,Q,Quarterly,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,S,"Seasonally adjusted, not calendar adjusted",D,"Electricity, gas, steam and air conditioning supply",GHG,Greenhouse gases (excludes carbon dioxide from biomass used as a fuel),RES,Activities by residents,_Z,Not applicable,ESTIMATED,Estimated by OECD,2017-Q1,,1048799117.17437,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.1),Air Emissions Accounts,I,OECD,OECD,Q,Quarterly,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,S,"Seasonally adjusted, not calendar adjusted",D,"Electricity, gas, steam and air conditioning supply",GHG,Greenhouse gases (excludes carbon dioxide from biomass used as a fuel),RES,Activities by residents,_Z,Not applicable,ESTIMATED,Estimated by OECD,2017-Q2,,1046819868.23506,,,,,,0,Zero
